Author,Title,Subtitle,ISBN 1,Publisher,TS,Pages,Language,Annotations,Illustrator,Translator,Original Title,Original language,Date of publishing
"OU?EDNÍK, Patrik",AD acta,,9788072152902,Torst,13,153,,"D?j knihy je zasazen do sou?asné Prahy. Na p?dorysu fabula?ní h?í?ky s detektivní zápletkou virtuózn? rozehrává pestrou ?kálu stylistick?ch i my?lenkov?ch vtip?, je? autorovi slou?í k sarkastickému pojednání ?eského dne?ka.",,,,,2015
"Pánek, Jaroslav a kol.",Ad fontes,?esk? historick? ústav v ?ím? (1994-2014) v kontextu ?eského bádání v Itálii a Vatikánu v 19.-21. století,9788072862511,Akademie v?d ?eské republiky. Historick? ústav,2,220,"?esk?, resumé v IJ","Jako první svazek edi?ní ?ady Acta Romana Bohemica vy?la kolektivní monografie, na ní? se podílelo 13 odborník? dlouhodob? zpracovávajících prameny italsk?ch a vatikánsk?ch archiv? a knihoven. Kniha podává p?ehled o v?voji ?eského bádání, zahájeného roku 1837 Franti?kem Palack?m, pokra?ujícího ?eskou historickou expedicí na p?elomu 19. a 20. století a ?eskoslovensk?m historick?m ústavem v ?ím? v mezivále?ném období a rozvíjeného v sou?asnosti ?esk?m historick?m ústavem v ?ím?, znovuzalo?en?m roku 1994.V jednotliv?ch kapitolách se podrobn? zab?vá hlavními v?zkumn?mi a publika?ními úkoly – vydáváním ?ady Monumenta Vaticana k d?jinám pozdního st?edov?ku, edicí nunciaturních zpráv k 16.-17. století, jezuitsk?mi prameny pro 16.-18. století, písemnostmi k d?jinám vztah? ?eskoslovenska a ?esk?ch zemí k Itálii a Vatikánu ve 20. století, stejn? jako soupisem bohemikálních rukopis? a pozoruhodnou sondou do d?jin pape?sk?ch a sv?tov?ch financí v dob? Urbana VIII. Rozsáhlá bibliografie eviduje knihy a dal?í studie, které vznikly za uplynul?ch dvacet let v prost?edí ?eského historického ústavu v ?ím? a obohatily ?eskou i evropskou historiografii. Monografie je opat?ena d?kladn?m poznámkov?m aparátem, rejst?íky a obsáhl?mi souhrny v ital?tin? a angli?tin?.",,,,,2013
,Ad gloriam Dei,Morav?tí misioná?i v 16.-18. století,9788070533000,V?decká knihovna v Olomouci,9,67,?esk?,"Katalog v?stavy k p?íle?itosti 1150. v?ro?í p?íchodu Konstantina a Metod?je na území Velké Moravy, zab?vající se osudy celé ?ady jin?ch v?rozv?st?, kte?í se vydali na cestu ?í?ení víry.",,,,,2006
,Ad honorem Bo?ivoj Srba,,9788086928166,Janá?kova akademie múzick?ch um?ní v Brn?,17,366,?esk?,"Sborník k 75. narozeninám prof. Bo?ivoje Srby tvo?í p?ísp?vky jedenat?iceti Srbov?ch koleg?, spolupracovník?, ?ák? a p?átel, pov?t?in? divadelník?, ale také literát? a v?tvarník? (nap?. E. Turnovského, M. Hyn?ta, J. Císa?e, I. a P. Osolsob?ho, I. Vysko?ila, D. Montmartre, L. Kundery, Z. Ho?ínka, J. Koval?uka, D. Ture?ka, P. Oslzlého, E. Stehlíkové, M. ?t?dron?, D. ?losara, L. Peschel ad.). Vedle text? odborn?ch a vzpomínkov?ch se v n?m objevují také básn?, inscena?ní libreto, divadelní hra a reprodukce v?tvarn?ch d?l. K nim je p?ipojen Soupis v?deck?ch prací B. S. (1956–2006). Sou?ástí je rovn?? bohat? fotografick? materiál, kter? doprovází n?které studie ?i zachycuje Bo?ivoje Srbu v soukromí, v divadle, za katedrou, s p?áteli, kolegy i celebritami.",,,,,2007
"Barte?ek, Ivo (editor)",Ad honorem Josef Poli?ensk? (1915–2001),,9788024416465,Univerzita Palackého v Olomouci,2,374,,Tento sborník byl vydán u p?íle?itosti nedo?itého ?ivotního jubilea profesora Josefa Poli?enského. P?ipravila ho Filozofická fakulta Univerzity Palackého za spolupráce p?átel Josefa Poli?enského.,,,,,2010
"Jan, Libor - Jani?, Dalibor a kol.",Ad iustitiam et bonum commune,Prom?ny zemského práva v ?esk?ch zemích ve st?edov?ku a raném novov?ku,9788086488653,Matice moravská,2,300,?esk?,"Monografie se sv?m zam??ením vrací ke star?í tradici studia zemského práva jako klí?ového právního okruhu, kter? rozhodujícím zp?sobem ur?oval chod ?eského státu a jeho spole?nosti.",,,,,2008
,Ad laetitiam,Studenti doc. Vladimíru Va?k? k 75. narozeninám,9788021047389,Masarykova univerzita,2,158,?esk?,"Sborník „Ad laetitiam“, v?novan? na?emu p?ednímu odborníkovi v oblasti pomocn?ch v?d historick?ch a archivnictví (zab?vajícímu se p?edev?ím st?edov?kou a novov?kou diplomatikou) docentu Vladimíru Va?k? k jeho 75. narozeninám, vytvo?ili a sestavili jeho studenti (b?valí i sou?asní) z Ústavu pomocn?ch v?d historick?ch a archivnictví Filozofické fakulty Masarykovy univerzity. Tato kniha, obsahující 12 ?lánk? z oblasti pomocn?ch v?d historick?ch, ilustrace, n?kolik krat?ích text? i darovací listinu, má b?t pod?kováním panu docentovi za jeho ve?kerou dosavadní práci a zárove? povzbuzením k dal?ímu pedagogickému i v?deckému p?sobení.","Bolom-Kotari, Sixtus - Kotlíková, Dagmar",,,,2014
"Riddell, Chris",Ada a my?í stra?idlo,,9788024246413,Euromedia Group k.s.,14,224,?esk?,"Ada Hr?zová, jediné dít? Lorda Hr?zy, ?ije s tatínkem v rozlehlém Hr?zohrad?. Lord Hr?za je p?esv?d?en, ?e d?ti mají b?t sly?et, ale ne vid?t, a tak musí Ada cel? den dupat po chodbách ve velk?ch, t??k?ch botách. Ada se cítí osam?lá, a tak se zaraduje, kdy? se jednoho dne v hrad? objeví Emily a William Bebí?kovi, d?ti slavného vynálezce. Spole?n? s my?ím stra?id?lkem Ismaelem musí zma?it tajné plány odpudivého hajného Zlov?stníka, d?ív ne? bude pozd?!  Nádhern? ilustrovan? napínav? stra?ideln? p?íb?h pro d?ti, pln? slovních h?í?ek, blázniv?ch nápad? a originálních jinotaj?, v nejlep?ím britském duchu!",,"Somogyi, Viola",Goth Girl and the Ghost of a Mouse,anglick?,2013
"Holásková, Kamila",Adam,,9788073367329,Fontána,13,84,?esk?,"P?íb?h Adama zachycuje ?ivotní dráhu mu?e od narození do t?iceti let. Adam vyr?stá v dysfunk?ní rodin?. Jeho rodi?e jsou osobnostn? nezralí a nezodpov?dní lidé, kte?í nedoká?í ?ít spolu, ani bez sebe. Nejsou schopni zvládnout rodi?ovskou roli. Chlapec se stává ob?tí jejich lhostejnosti. Je v?ak obdarován mimo?ádn?m talentem atraktivním zevn?j?kem. V pr?b?hu svého slo?itého d?tství potkává lidi, kte?í o n?ho doká?í pe?ovat a jsou schopni i ochotni ho milovat. V dosp?losti Adamova sociáln? i biologicky determinovaná osobnost svádí boj o kultivované p?e?ití. Je pouze na Adamovi, zda doká?e vyu?ít své vlohy a ochrání sám sebe p?ed v?emi parazity.",,,,,2008
"Froulíková, Lenka",Adam a Eva v ?eském ráji,U?ebnice ?e?tiny pro cizince-za?áte?níky,9788020016737,Academia,12,168,?esk?,"U?ebnice ur?ena student?m vysok?ch ?kol v zahrani?í a dosp?l?m, kte?í za?ínají se studiem ?e?tiny. Obsahuje úvodní lekci zam??enou na fonetiku a patnáct v?kladov?ch lekcí. Ka?dá z nich p?edkládá texty, které nás uvád?jí prost?ednictvím dvojice mlad?ch lidí do b??n?ch ?ivotních situací a seznamují s ?esk?mi reáliemi, dále lekce obsahují gramatiku se slovní zásobou, cvi?ení a situace, krátkou ukázku z d?l ?esk?ch spisovatel?, básník? ?i písni?ká?? a také slovní?ek s p?ekladem slovní zásoby do angli?tiny, n?m?iny, francouz?tiny a ru?tiny.",,,,,2009
