Author,Title,Subtitle,ISBN 1,Publisher,TS,Pages,Language,Annotations,Illustrator,Translator,Original Title,Original language,Date of publishing
"OU?EDNÍK, Patrik",AD acta,,9788072152902,Torst,13,153,,"D?j knihy je zasazen do sou?asné Prahy. Na p?dorysu fabula?ní h?í?ky s detektivní zápletkou virtuózn? rozehrává pestrou škálu stylistických i myšlenkových vtip?, jež autorovi slouží k sarkastickému pojednání ?eského dneška.",,,,,2015
"Pánek, Jaroslav a kol.",Ad fontes,?eský historický ústav v ?ím? (1994-2014) v kontextu ?eského bádání v Itálii a Vatikánu v 19.-21. století,9788072862511,Akademie v?d ?eské republiky. Historický ústav,2,220,"?eský, resumé v IJ","Jako první svazek edi?ní ?ady Acta Romana Bohemica vyšla kolektivní monografie, na níž se podílelo 13 odborník? dlouhodob? zpracovávajících prameny italských a vatikánských archiv? a knihoven. Kniha podává p?ehled o vývoji ?eského bádání, zahájeného roku 1837 Františkem Palackým, pokra?ujícího ?eskou historickou expedicí na p?elomu 19. a 20. století a ?eskoslovenským historickým ústavem v ?ím? v mezivále?ném období a rozvíjeného v sou?asnosti ?eským historickým ústavem v ?ím?, znovuzaloženým roku 1994.V jednotlivých kapitolách se podrobn? zabývá hlavními výzkumnými a publika?ními úkoly – vydáváním ?ady Monumenta Vaticana k d?jinám pozdního st?edov?ku, edicí nunciaturních zpráv k 16.-17. století, jezuitskými prameny pro 16.-18. století, písemnostmi k d?jinám vztah? ?eskoslovenska a ?eských zemí k Itálii a Vatikánu ve 20. století, stejn? jako soupisem bohemikálních rukopis? a pozoruhodnou sondou do d?jin papežských a sv?tových financí v dob? Urbana VIII. Rozsáhlá bibliografie eviduje knihy a další studie, které vznikly za uplynulých dvacet let v prost?edí ?eského historického ústavu v ?ím? a obohatily ?eskou i evropskou historiografii. Monografie je opat?ena d?kladným poznámkovým aparátem, rejst?íky a obsáhlými souhrny v italštin? a angli?tin?.",,,,,2013
,Ad gloriam Dei,Moravští misioná?i v 16.-18. století,9788070533000,V?decká knihovna v Olomouci,9,67,?eský,"Katalog výstavy k p?íležitosti 1150. výro?í p?íchodu Konstantina a Metod?je na území Velké Moravy, zabývající se osudy celé ?ady jiných v?rozv?st?, kte?í se vydali na cestu ší?ení víry.",,,,,2006
,Ad honorem Bo?ivoj Srba,,9788086928166,Janá?kova akademie múzických um?ní v Brn?,17,366,?eský,"Sborník k 75. narozeninám prof. Bo?ivoje Srby tvo?í p?ísp?vky jedenat?iceti Srbových koleg?, spolupracovník?, žák? a p?átel, pov?tšin? divadelník?, ale také literát? a výtvarník? (nap?. E. Turnovského, M. Hynšta, J. Císa?e, I. a P. Osolsob?ho, I. Vysko?ila, D. Montmartre, L. Kundery, Z. Ho?ínka, J. Koval?uka, D. Ture?ka, P. Oslzlého, E. Stehlíkové, M. Št?dron?, D. Šlosara, L. Peschel ad.). Vedle text? odborných a vzpomínkových se v n?m objevují také básn?, inscena?ní libreto, divadelní hra a reprodukce výtvarných d?l. K nim je p?ipojen Soupis v?deckých prací B. S. (1956–2006). Sou?ástí je rovn?ž bohatý fotografický materiál, který doprovází n?které studie ?i zachycuje Bo?ivoje Srbu v soukromí, v divadle, za katedrou, s p?áteli, kolegy i celebritami.",,,,,2007
"Barte?ek, Ivo (editor)",Ad honorem Josef Polišenský (1915–2001),,9788024416465,Univerzita Palackého v Olomouci,2,374,,Tento sborník byl vydán u p?íležitosti nedožitého životního jubilea profesora Josefa Polišenského. P?ipravila ho Filozofická fakulta Univerzity Palackého za spolupráce p?átel Josefa Polišenského.,,,,,2010
"Jan, Libor - Janiš, Dalibor a kol.",Ad iustitiam et bonum commune,Prom?ny zemského práva v ?eských zemích ve st?edov?ku a raném novov?ku,9788086488653,Matice moravská,2,300,?eský,"Monografie se svým zam??ením vrací ke starší tradici studia zemského práva jako klí?ového právního okruhu, který rozhodujícím zp?sobem ur?oval chod ?eského státu a jeho spole?nosti.",,,,,2008
,Ad laetitiam,Studenti doc. Vladimíru Vašk? k 75. narozeninám,9788021047389,Masarykova univerzita,2,158,?eský,"Sborník „Ad laetitiam“, v?novaný našemu p?ednímu odborníkovi v oblasti pomocných v?d historických a archivnictví (zabývajícímu se p?edevším st?edov?kou a novov?kou diplomatikou) docentu Vladimíru Vašk? k jeho 75. narozeninám, vytvo?ili a sestavili jeho studenti (bývalí i sou?asní) z Ústavu pomocných v?d historických a archivnictví Filozofické fakulty Masarykovy univerzity. Tato kniha, obsahující 12 ?lánk? z oblasti pomocných v?d historických, ilustrace, n?kolik kratších text? i darovací listinu, má být pod?kováním panu docentovi za jeho veškerou dosavadní práci a zárove? povzbuzením k dalšímu pedagogickému i v?deckému p?sobení.","Bolom-Kotari, Sixtus - Kotlíková, Dagmar",,,,2014
"Riddell, Chris",Ada a myší strašidlo,,9788024246413,Euromedia Group k.s.,14,224,?eský,"Ada Hr?zová, jediné dít? Lorda Hr?zy, žije s tatínkem v rozlehlém Hr?zohrad?. Lord Hr?za je p?esv?d?en, že d?ti mají být slyšet, ale ne vid?t, a tak musí Ada celý den dupat po chodbách ve velkých, t?žkých botách. Ada se cítí osam?lá, a tak se zaraduje, když se jednoho dne v hrad? objeví Emily a William Bebí?kovi, d?ti slavného vynálezce. Spole?n? s myším strašidýlkem Ismaelem musí zma?it tajné plány odpudivého hajného Zlov?stníka, d?ív než bude pozd?!  Nádhern? ilustrovaný napínavý strašidelný p?íb?h pro d?ti, plný slovních h?í?ek, bláznivých nápad? a originálních jinotaj?, v nejlepším britském duchu!",,"Somogyi, Viola",Goth Girl and the Ghost of a Mouse,anglický,2013
"Holásková, Kamila",Adam,,9788073367329,Fontána,13,84,?eský,"P?íb?h Adama zachycuje životní dráhu muže od narození do t?iceti let. Adam vyr?stá v dysfunk?ní rodin?. Jeho rodi?e jsou osobnostn? nezralí a nezodpov?dní lidé, kte?í nedokáží žít spolu, ani bez sebe. Nejsou schopni zvládnout rodi?ovskou roli. Chlapec se stává ob?tí jejich lhostejnosti. Je však obdarován mimo?ádným talentem atraktivním zevn?jškem. V pr?b?hu svého složitého d?tství potkává lidi, kte?í o n?ho dokáží pe?ovat a jsou schopni i ochotni ho milovat. V dosp?losti Adamova sociáln? i biologicky determinovaná osobnost svádí boj o kultivované p?ežití. Je pouze na Adamovi, zda dokáže využít své vlohy a ochrání sám sebe p?ed všemi parazity.",,,,,2008
"Froulíková, Lenka",Adam a Eva v ?eském ráji,U?ebnice ?eštiny pro cizince-za?áte?níky,9788020016737,Academia,12,168,?eský,"U?ebnice ur?ena student?m vysokých škol v zahrani?í a dosp?lým, kte?í za?ínají se studiem ?eštiny. Obsahuje úvodní lekci zam??enou na fonetiku a patnáct výkladových lekcí. Každá z nich p?edkládá texty, které nás uvád?jí prost?ednictvím dvojice mladých lidí do b?žných životních situací a seznamují s ?eskými reáliemi, dále lekce obsahují gramatiku se slovní zásobou, cvi?ení a situace, krátkou ukázku z d?l ?eských spisovatel?, básník? ?i písni?ká?? a také slovní?ek s p?ekladem slovní zásoby do angli?tiny, n?m?iny, francouzštiny a ruštiny.",,,,,2009
